场次,Pari 天辉/夜魇,胜者,比赛id,眼位PDF负责人,已完成 & 上传？
Pari vs XG game 1,Dire,Pari,8458048475,,yes
Pari vs XG game 2,Dire,Pari,8458145799,,yes
Pari vs Falcon game 1,Dire,Pari,8459915275,,
Pari vs Falcon game 2,Radiant,Falcon ,8460035179,,
Pari vs Falcon game 3,Radiant,Falcon ,8460164236,,
Pari vs Wildcard game 1,Dire,Pari,8450892039,,
Pari vs Wildcard game 2,Radiant,Pari,8451015743,,yes
Pari vs Heroic game 1,Dire,Pari,8456498646,,
Pari vs Heroic game 2,Dire,Pari,8456620817,,
Pari vs BB game 1,Radiant,BB,8449477805,,
Pari vs BB game 2,Dire,Pari,8449596871,,
Pari vs BB game 3,Dire,BB,8449730523,,
Pari vs TT game 1,Radiant,TT,8447807379,,
Pari vs TT game 2,Radiant,TT,8447908059,,
Pari vs Nigma game 1,Radiant,Pari,8446928498,,
Pari vs Heroic game 2 Group Stage,Radiant,Pari,8446507420,,
