场次,Falcon 天辉/夜魇,胜者,比赛id
Falcon vs Pari game 1,Radiant,Pari,8459915275
Falcon vs Pari game 2,Dire,Falcon,8460035179
Falcon vs Pari game 3,Dire,Falcon,8460164236
Falcon vs BB game 1,Radiant,BB,8458323214
Falcon vs BB game 2,Dire,Falcon,8458460625
Falcon vs BB game 3,Dire,Falcon,8458567498
Falcon vs TB game 1,Radiant,Falcon,8456770626
Falcon vs TB game 2,Dire,Falcon,8456886907
Falcon vs Liquid game 1,Dire,Falcon,8448961997
Falcon vs Liquid game 2,Dire,Falcon,8449036139
Falcon vs XG game 1,Dire,Falcon,8447554972
Falcon vs XG game 2,Radiant,XG,8447613945
Falcon vs XG game 3,Dire,XG,8447703577
Falcon vs Tundra game 1 ,Radiant,Falcon,8446587536
Falcon vs Tundra game 3,Radiant,Falcon,8446788561
